"ESC" "CESC" "MES" "CMES" "CM" "CP" "HB" "HE" "HP" "MAC"
"merge.105677" 1.36441605778226 1.57301577609774 1.46185763526952 2.24573480066749 1.6622287154642 0.992274894852776 3.36398232398852 3.83452907657803 2.76347085070146 1.4763717081481
"merge.105680" 2.00095850780211 1.8962231866135 3.47908035799844 3.1708348169326 3.51057502861445 1.70028987855419 5.68290350739447 5.99455590984337 5.13021817654959 5.50953943609033
"merge.105684" -0.740547190730427 0.852133162411455 1.17406143405496 1.38542696114642 1.14888760560643 0.617636526703646 0.976175479183515 3.27741642043355 4.96297723272471 2.51001410440697
"merge.105687" 1.00902614973915 0.342479972395997 2.2583895212968 1.57753182565119 0.905295085561797 1.21554280859628 0.970600503908596 0.637436129398694 1.9037682366998 5.91974947180098
"merge.105688" 0.868858468129726 0.312430487219201 1.43712072756932 1.83637355891958 0.900498088668886 1.47240571188174 2.65031728529298 3.52423231839331 5.53665834763907 5.02398325107052
"merge.105697" 1.35831710463981 0.114038701000353 0.674776293575357 2.66694922446049 0.683247708295054 0.807888563622902 1.10902080840041 0.640759413740964 1.85951577926712 2.22123559630327
"merge.105700" 1.96012880463183 2.10639734264681 2.80821011379249 3.21074917054839 2.19969336906477 1.14351522288345 5.13155603576554 2.95163780586447 2.41021140127065 1.23267884716837
"merge.105701" 1.39547674647296 1.95483894009437 1.75377331125217 3.00487428992696 1.72139613382209 1.81976058666454 2.62674712894109 1.50209320149641 3.22766709925089 2.56151760429005
"merge.105703" -0.257146224620793 -0.00422114788832188 0.895704792474936 2.41425904132381 1.08204436282895 0.665396378103388 3.0445718252113 0.65695598798726 1.89794173747391 4.05422033207178
"merge.105704" 1.68248734140023 1.15686675992819 2.75578895311618 1.98402345023461 1.7451631816033 1.40046297889154 5.20697293704879 3.03767104820782 5.23755413136215 5.28677065887724
"merge.105705" 1.77675323494447 0.339603355223842 2.55803859735841 1.25262934449336 1.29284109355072 1.12633346277166 2.9618691193995 0.10943410464284 1.88343805990088 1.49903791276036
"merge.105707" 0.847506973937612 -0.0607670855235614 2.64592331277397 1.74534588065778 1.00913696734615 2.0146260032118 1.54407860204087 2.90134628516143 5.65635896319056 4.20917361170948
"merge.105708" -0.990048466499018 0.660442746236087 -1.15893295850608 2.09216230290815 0.987933790278258 1.71298720356817 2.31624569170057 3.05010241322822 5.69979541405739 5.02215096408145
"merge.105711" 0.237652096988813 1.22422273161413 1.69583936106977 3.18591622648908 1.93476924801069 2.64891525906973 3.69722807856543 3.59849397440566 2.68577354039751 3.10188578788081
"merge.105712" 0.963078252216269 0.662954113139981 3.91320130451942 3.15161975758625 2.28403118183328 2.61922408683135 5.0372585709129 3.10355224955191 2.94849207951798 1.58780323579319
"merge.105714" 0.51988407389013 -0.0105752902321158 3.11265163627664 1.63430955997389 1.65127014389225 0.114938221193 1.56231294691168 2.63551059577185 2.52513464638305 4.67666843407304
"merge.105716" 0.881666515950684 -0.100800855108228 0.980813994031961 1.20221204075303 0.746014984285466 1.06214809745455 1.31403586390015 2.27598087658846 5.78928170801008 0.965587048467993
"merge.105717" 3.08828887830343 1.35689531685544 1.97877342159638 2.90003559493708 1.92332435370572 2.95990239955038 2.77513800575217 2.54102976179102 3.26363764102636 4.50741591963115
"merge.105718" 0.802584010947233 0.415814636717669 0.793504793428582 1.90789495230593 1.06946023443693 1.71582780695668 1.88767274693385 3.64188267200365 5.6629482808583 5.64963977661963
"merge.105719" 0.00506362556520079 0.696325299203391 2.15082614826376 2.62592994557001 1.1028901125451 0.691787414811905 3.79471404334067 2.75802399612648 3.09105635026984 1.31466630270735
