"ESC" "CESC" "MES" "CMES" "CM" "CP" "HB" "HE" "HP" "MAC"
"Gm11544" -0.281341782062198 0.897314044499997 -9.96578428466209 -7.41263937994356 -9.96578428466209 -7.28472424814872 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Kctd16" -1.65205154385222 -2.12983453834332 -5.98595175909678 -9.96578428466209 0.307886778611901 -7.28472424814872 -6.90466646489447 -9.96578428466209 -4.95784323244075 -9.96578428466209
"Got1" 5.9098565780319 6.06020578192699 5.00440296714181 4.59263045769164 5.628154865487 4.2715735073334 5.37223014558039 4.53945250045218 4.16113083118304 4.72436917974398
"Ppp4r1" 5.5921300010047 5.46795861455628 5.61207736762505 5.5348510102077 4.95021396681511 5.15292144320244 5.58059296225932 5.7634548980265 5.31539448979377 4.70410251200409
"Crip2" 5.23132640712419 4.84680230457737 4.05798275383603 2.80715596940532 6.70452367953762 5.2746497567276 4.76884305513564 6.22728880729081 3.27642849236325 0.118345275909173
"Olfr270" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Diaph3" 3.18881654669472 3.02448952589784 3.01038314396794 2.89995767610232 1.89429173733236 2.50511102001974 3.23268962542962 3.45469953449395 3.6934431494693 0.899226422250481
"Slc5a5" 2.62148688360404 1.69727854877412 0.52180779630895 -0.217534359928969 -1.72875786227081 -4.04641922384623 -2.25909650508336 -2.4722437197156 -1.89769100141241 -4.25099890626134
"Phf11b" -4.36865162023191 -6.95067734555693 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -6.34823967283521 -9.96578428466209 -1.82758897228303 2.30816556764564
"Sim1" -7.16656872901616 -9.04368599955391 -4.73669220729528 -3.3759168932743 -4.88595817146854 -7.88324412772094 -7.29698309564108 -9.96578428466209 -7.00086064213284 -5.51541271557289
"Six5" 0.16631513718608 0.358780235283128 2.17902771568408 3.01210504728883 3.17980527681426 2.77990650563673 0.740356915548293 1.42376961739667 -0.211867294948385 -2.20325848631065
"Ube2d2a" 4.27471463212137 4.93606275247462 4.75837535107661 5.37672633641169 5.04301149427781 5.27030708643754 3.31797049711296 2.92571599318582 2.82849585054556 2.67878350303444
"Olfr127" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"C87499" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -4.88884532153996
"Cpne2" 1.03150263823872 1.47797130459793 1.77145349950557 2.17902771568408 1.03150263823872 1.42269949316885 2.32616415157252 2.23795850350807 0.880636669442449 1.58080520445509
"Polr2l" 4.51074351588307 5.16248653003678 3.83349630067905 4.62638779837867 4.17755329165801 4.0664399704896 1.22914243367907 0.957066029895285 1.07011570915728 0.893423310557182
"En1" -0.9818865901032 -0.953506173509904 -2.82957385997681 -7.31683440144536 -6.4982803808781 -6.45387813227875 -0.862472512477961 -2.22231546037764 -2.75980509495745 -3.4573275110218
"Fam26e" -0.951518381416397 -0.515042007182561 -3.55866630183612 -6.65550609075389 -3.84589332918958 -2.09538541816007 -2.60078421470778 -1.19344927980145 -4.12307328863529 -3.62912555000934
"Lman2" 4.67784673725987 4.7340028801542 4.93550354465902 4.95021396681511 4.95439992707594 4.70687638410553 4.9786919740124 5.1080722081298 5.0435263302471 5.86997477285599
"Tcf12" 4.89347975856871 4.78474959236399 6.42979788264497 6.63878743721782 6.28229886735596 6.68888767350504 6.51674620194497 6.470704304331 6.44733458139924 5.44628976929903
"Cypt12" -9.96578428466209 -4.2875678945045 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Txndc8" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Rdh16" -7.89699448009593 -7.35837367635903 -7.70391743858199 -5.55853584055452 -6.16427142092948 -6.28063860763274 -7.91923372222958 -5.92157993047924 -6.11740995780157 -9.96578428466209
"Hectd2" 0.694923978141842 0.808225498869655 0.317902347188516 0.648307976361441 1.73529685469645 0.715223365733781 1.21423642188836 1.04621439377245 1.11076219806528 0.992337122881705
"Golm1" 5.12064419194064 5.19732201060165 6.03471552061078 6.11342594534805 5.73456815846531 5.64297800715061 6.28899403409812 5.833122262203 5.45800952836763 5.01724633854374
"Pa2g4" 7.65837932522505 7.48870803632996 6.94234275596539 7.20425845631987 6.70599451295222 6.35367690645664 6.60678074530082 5.76087493880874 6.47571748293612 3.84646177965117
"Pym1" 7.07528055399511 6.95571123268932 6.69119710112484 6.66059782010185 6.16181066495899 6.47704289808513 6.88374978227258 6.11342594534805 6.38572234072561 5.48558107525392
"Plod1" 2.74928909054029 2.69203510275749 2.99103927202008 3.32123089741971 4.90090124127444 3.61839561446733 3.22756135651678 3.00301877088165 2.35875828689223 4.91669724354071
"Gm2030" -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209 -9.96578428466209
"Zfp957" -3.20023149524827 -9.60139866568461 -3.91487587363168 -7.41263937994356 -6.64529830394256 -6.28063860763274 -1.61932960151041 -1.74439935066292 -1.72162315680155 -1.33754575429615
